название,имя_художника,стоимость,примерная_оценка,материал,размер,страна,период,стиль,жанр
Fair Triumvirate,JAN MÜLLER,"USD 5,292","USD 4,000 - 6,000",N/A,21.9 x 21.9 cm.,Unknown,1922-1958,Contemporary Art,Modern Art
Form and Skull I,JOHN WALKER,"USD 7,560","USD 6,000 - 8,000",oil on canvas,217.2 x 171.5 cm.,Unknown,B. 1939,Contemporary Art,Modern Art
New Man,JUDITH SHEA,"USD 1,638","USD 3,000 - 5,000",bronze,N/A,Unknown,B. 1948,Contemporary Art,Modern Art
Puffin (blue blue),LYMAN KIPP,"USD 2,016","USD 1,500 - 2,000",N/A,N/A,Unknown,1929-2014,Contemporary Art,Modern Art
"#63, Red Wing",CHARLES BIEDERMAN,"USD 10,080","USD 7,000 - 10,000",N/A,N/A,Unknown,1906-2004,Contemporary Art,Modern Art
Untitled (Swimmer),ROBERT MOSKOWITZ,"USD 5,670","USD 3,000 - 5,000",N/A,78.1 x 57.8 cm.,Unknown,1935-2024,Contemporary Art,Modern Art
"Sections of England, Frozen Water - Nos. 2, 5 and 8 [Three Works]",GARRY FABIAN MILLER,"USD 9,450","USD 3,000 - 5,000",N/A,N/A,Unknown,B. 1957,Contemporary Art,Modern Art
Untitled,GEORGE CONDO,"USD 15,120","USD 6,000 - 8,000",N/A,22.8 x 20.3 cm.,United States,b. 1957,Contemporary Art,Modern Art
More Sketches of Spain - For Miles Davis #8; More Sketches of Spain - For Miles Davis #12 [Two Works],GEORGE CONDO,"USD 5,670","USD 3,000 - 5,000",N/A,132.1 x 97.8 cm.,United States,B. 1957,Contemporary Art,Modern Art
Chinese Rectangle,HUANG GANG,"USD 2,520","USD 6,000 - 8,000",acrylic,70.5 x 190.5 cm.,Unknown,B. 1961,Contemporary Art,Modern Art
Qilin's Self Portrait,SU SU,"USD 9,450","USD 2,000 - 3,000",oil on canvas,45.7 x 35.6 cm.,Unknown,B. 1988,Contemporary Art,Portrait
Monkey Suit,YESIYU ZHAO,USD 882,"USD 2,000 - 3,000",acrylic,76.2 x 76.2 cm.,Unknown,B. 1991,Contemporary Art,Modern Art
Money ,JACK PIERSON,"USD 7,560","USD 8,000 - 12,000",acrylic,213.4 x 266.7 cm.,Unknown,B. 1960,Contemporary Art,Modern Art
TBT,KON TRUBKOVICH,,"USD 10,000 - 15,000",N/A,182.9 x 153 cm.,Unknown,B. 1979,Contemporary Art,Modern Art
Untitled,ALEX BROWN,"USD 6,930","USD 2,000 - 3,000",oil on canvas,155.6 x 142.6 cm.,Unknown,1966-2019,Contemporary Art,Modern Art
Shoes,JAMES WHITE,"USD 5,292","USD 5,000 - 7,000",N/A,47 x 61.6 cm.,Unknown,B. 1967,Contemporary Art,Modern Art
Autochrome II,NATHALIE BOUTTÉ,USD 630,"USD 2,000 - 3,000",N/A,95.6 x 74 cm.,Unknown,B. 1967,Contemporary Art,Modern Art
John Hancock,KATHRYN ANDREWS,"USD 1,386","USD 4,000 - 6,000",N/A,N/A,Unknown,B. 1973,Contemporary Art,Modern Art
18-15-19-1-4-5-12-9-13-1,PATRICIA AYRES,"USD 7,560","USD 1,000 - 1,500",N/A,N/A,Unknown,B. 1975,Contemporary Art,Modern Art
Nude,LUCIANO CASTELLI,"USD 6,300","USD 3,000 - 5,000",oil on canvas,100.3 x 80 cm.,Unknown,B. 1951,Contemporary Art,Nude
Elephant Man träumt von Dir,JONATHAN MEESE,"USD 3,780","USD 6,000 - 8,000",bronze,N/A,Unknown,B. 1971,Contemporary Art,Modern Art
Untitled (Fence),COSIMA VON BONIN,"USD 5,670","USD 12,000 - 18,000",N/A,N/A,Germany,B. 1962,Contemporary Art,Modern Art
Untitled,RICHARD ALDRICH,"USD 7,560","USD 3,000 - 5,000",N/A,76.2 x 50.8 cm.,Unknown,B. 1975,Contemporary Art,Modern Art
Kleiner Wolf,JONATHAN MEESE,"USD 4,410","USD 5,000 - 7,000",bronze,N/A,Unknown,B. 1971,Contemporary Art,Modern Art
Flag 6 ,REENA SPAULINGS,USD 882,"USD 8,000 - 12,000",N/A,92.7 x 157.5 cm.,Unknown,C. 2005,Contemporary Art,Modern Art
Inside the Mountain,ANA PRATA,"USD 4,410","USD 3,000 - 5,000",N/A,203.2 x 152.4 cm.,Unknown,B. 1980,Contemporary Art,Modern Art
Pattern Painting- Miami Design,PAULINA OLOWSKA,"USD 1,890","USD 6,000 - 8,000",acrylic,179.7 x 119.4 cm.,Unknown,B. 1976,Contemporary Art,Modern Art
Mare Del Passato,TOMMASO CASCELLA,"USD 1,638","USD 2,000 - 3,000",acrylic,193 x 303.5 cm.,Unknown,b. 1951,Contemporary Art,Modern Art
Of Many Colors,XAVIERA SIMMONS,"USD 6,930","USD 4,000 - 6,000",acrylic,187.3 x 184.2 cm.,Unknown,B. 1974,Contemporary Art,Modern Art
Return to Bay Point,GRANT HAFFNER,"USD 1,134","USD 1,000 - 2,000",acrylic,30.5 x 30.5 cm.,Unknown,B. 1978,Contemporary Art,Modern Art
Sundown,MARIUS BERCEA,"USD 8,190","USD 3,000 - 5,000",oil on canvas,94 x 84.1 cm.,Unknown,B. 1979,Contemporary Art,Modern Art
Untitled Large Diptych,ZACHARY ARMSTRONG,"USD 69,300","USD 5,000 - 7,000",oil on canvas,254 x 243.8 cm.,Unknown,B. 1984,Contemporary Art,Modern Art
Study in Green #8; Study in Green #16 [Two Works],RUUD VAN EMPEL,"USD 2,772","USD 4,000 - 6,000",N/A,58.4 x 41.9 cm.,Unknown,B. 1958,Contemporary Art,Modern Art
Fucking Tatanka Painting ,THRUSH HOLMES,"USD 2,520","USD 3,000 - 5,000",N/A,213.4 x 365.8 cm.,Unknown,B. 1979,Contemporary Art,Modern Art
090 Boomerang – Oceania,HUGH SCOTT-DOUGLAS,"USD 1,134","USD 5,000 - 7,000",N/A,203.2 x 304.8 cm.,Unknown,B. 1988,Contemporary Art,Modern Art
Hoja Suspendida; Noodles In The Fence [Two Works],GABRIEL OROZCO,"USD 10,710","USD 4,000 - 6,000",N/A,40.6 x 50.8 cm.,Unknown,B. 1962,Contemporary Art,Modern Art
Color of My Nipple is Rosy Pink,ILONA SZWARC,USD 504,"USD 1,500 - 2,000",N/A,85.7 x 108.6 cm.,Unknown,B. 1984,Contemporary Art,Modern Art
