название,имя_художника,стоимость,примерная_оценка,материал,размер,страна,период,стиль,жанр
Lynx Penguin,JAMIAN JULIANO-VILLANI,,"USD 25,000 - 35,000",acrylic,182.9 x 121.9 cm.,United States,b.1987,Contemporary Art,Modern Art
Untitled (Red Flower),ROSS BLECKNER,"USD 11,970","USD 6,000 - 8,000",oil on canvas,45.7 x 45.7 cm.,United States,B. 1949,Contemporary Art,Modern Art
Untitled,DAVID SALLE,"USD 56,700","USD 15,000 - 20,000",acrylic,152.4 x 107.3 cm.,United States,b. 1952,Contemporary Art,Modern Art
Ten Breaths: Tumbling Woman II,ERIC FISCHL,"USD 113,400","USD 35,000 - 45,000",bronze,N/A,United States,B. 1948,Contemporary Art,Modern Art
Little Offering,KIKI SMITH,"USD 17,640","USD 10,000 - 15,000",bronze,N/A,United States,B. 1954,Contemporary Art,Modern Art
Kiki Smith,FRANCESCO CLEMENTE,"USD 60,480","USD 40,000 - 60,000",N/A,152.4 x 76.2 cm.,Italy,B. 1952,Contemporary Art,Modern Art
Daughter of the Mountain,FRANCESCO CLEMENTE,,"USD 8,000 - 12,000",N/A,67.3 x 50.8 cm.,Italy,b. 1952,Contemporary Art,Modern Art
Untitled,MARGARET KILGALLEN,"USD 69,300","USD 40,000 - 60,000",N/A,315 x 228.6 cm.,United States,1967-2001,Contemporary Art,Modern Art
"Jaunel Mackenzie with Friends or ""Winter Special Crazy Fun"" ",KATHERINE BERNHARDT,"USD 12,600","USD 20,000 - 30,000",acrylic,219.1 x 160 cm.,United States,B. 1975,Contemporary Art,Modern Art
The Dance of My Arms #3,JIM DINE,"USD 20,160","USD 18,000 - 25,000",N/A,161.3 x 121.3 cm.,United States,B. 1935,Contemporary Art,Modern Art
Self Portrait,DONALD BAECHLER,"USD 16,380","USD 4,000 - 6,000",acrylic,90.8 x 90.2 cm.,United States,1956-2022,Contemporary Art,Portrait
Free Being,JONATHAN LASKER,,"USD 30,000 - 50,000",N/A,182.9 x 243.8 cm.,Unknown,B. 1948,Contemporary Art,Modern Art
Richards Hearts #2,JIM DINE,"USD 11,970","USD 8,000 - 12,000",N/A,40.6 x 50.2 cm.,United States,B. 1935,Contemporary Art,Modern Art
Untitled,JONATHAN LASKER,"USD 2,772","USD 2,000 - 3,000",N/A,76.2 x 56.5 cm.,Unknown,B. 1948,Contemporary Art,Modern Art
Sphinx #1,DONALD BAECHLER,,"USD 6,000 - 8,000",N/A,61 x 61 cm.,United States,1956-2022,Contemporary Art,Modern Art
Untitled,JONATHAN LASKER,"USD 3,780","USD 4,000 - 6,000",N/A,12.7 x 17.1 cm.,Unknown,b. 1948,Contemporary Art,Modern Art
Untitled,JONATHAN LASKER,,"USD 3,000 - 4,000",N/A,76.2 x 55.9 cm.,Unknown,B. 1948,Contemporary Art,Modern Art
Flower Bomb ,JONATHAN LASKER,,"USD 10,000 - 15,000",oil on canvas,61 x 46.4 cm.,Unknown,B. 1948,Contemporary Art,Modern Art
The Modification of Infinity,JONATHAN LASKER,,"USD 20,000 - 30,000",N/A,121.9 x 91.4 cm.,Unknown,B. 1948,Contemporary Art,Modern Art
Tache bleu,ALEXANDER CALDER,"USD 81,900","USD 30,000 - 50,000",gouache,74.3 x 109.5 cm.,Unknown,1898-1976,Contemporary Art,Modern Art
Untitled,DAVID SMITH,,"USD 20,000 - 30,000",N/A,48.3 x 66 cm.,Unknown,1906-1965,Contemporary Art,Modern Art
Untitled,ROBERT MOTHERWELL,,"USD 50,000 - 70,000",acrylic,89.5 x 45.1 cm.,Unknown,1915-1991,Contemporary Art,Modern Art
Untitled,FRANZ KLINE,"USD 60,480","USD 20,000 - 30,000",gouache,27.9 x 23.5 cm.,Unknown,1910-1962,Contemporary Art,Modern Art
Forest X,LOUISE NEVELSON,,"USD 80,000 - 120,000",N/A,N/A,Unknown,1899-1988,Contemporary Art,Modern Art
Mabel's Release #5,JACK HAMILTON BUSH,,"USD 40,000 - 60,000",acrylic,77.5 x 50.2 cm.,Unknown,1909-1977,Contemporary Art,Modern Art
Sea Hallucinations,JOHN GRAHAM,,"USD 10,000 - 15,000",gouache,47.6 x 62.9 cm.,Unknown,1881-1961,Contemporary Art,Modern Art
Blue Velvet,JACK HAMILTON BUSH,"USD 25,200","USD 30,000 - 50,000",acrylic,48.3 x 76.2 cm.,Unknown,1909-1977,Contemporary Art,Modern Art
Throne,LOUISE NEVELSON,,"USD 60,000 - 80,000",N/A,N/A,Unknown,1899-1988,Contemporary Art,Modern Art
Hallucination,JOHN GRAHAM,,"USD 8,000 - 12,000",gouache,47 x 62.2 cm.,Unknown,1881-1961,Contemporary Art,Modern Art
Night Visage VI,LOUISE NEVELSON,"USD 56,700","USD 40,000 - 60,000",N/A,93.3 x 77.5 cm.,Unknown,1899-1988,Contemporary Art,Modern Art
Study for Corner of a Mattress (Paris Review: Multimousse),CLAES OLDENBURG,,"USD 15,000 - 20,000",N/A,89.5 x 66.7 cm.,Unknown,1929-2022,Contemporary Art,Modern Art
End of Day Cryptic II,LOUISE NEVELSON,"USD 12,600","USD 15,000 - 20,000",N/A,N/A,Unknown,1899-1988,Contemporary Art,Modern Art
Cozy Cole the 3rd (Jazz Drummer),LARRY RIVERS,"USD 20,160","USD 20,000 - 30,000",oil on canvas,55.9 x 56.5 cm.,Unknown,1923-2002,Contemporary Art,Modern Art
Night Mystery,HANS HOFMANN,"USD 9,450","USD 8,000 - 12,000",gouache,43.5 x 35.6 cm.,Germany,1880-1966,Contemporary Art,Modern Art
Untitled,WILLEM DE KOONING,"USD 60,480","USD 25,000 - 35,000",N/A,26.7 x 32.4 cm.,Unknown,1904-1997,Contemporary Art,Modern Art
Untitled,HANS HOFMANN,"USD 8,820","USD 7,000 - 10,000",N/A,35.6 x 42.5 cm.,Germany,1880-1966,Contemporary Art,Modern Art
"Wanderings: Bilbao, Yellow",JULES OLITSKI,"USD 11,340","USD 8,000 - 12,000",acrylic,61 x 61 cm.,Unknown,1922-2007,Contemporary Art,Modern Art
Untitled,FRANK STELLA,"USD 25,200","USD 20,000 - 30,000",acrylic,43.2 x 55.9 cm.,Unknown,1936-2024,Contemporary Art,Modern Art
MELBKIN 8 ,LARRY BELL,,"USD 6,000 - 8,000",N/A,74.3 x 57.2 cm.,Unknown,B. 1939,Contemporary Art,Modern Art
Untitled,FRANK STELLA,"USD 30,240","USD 18,000 - 25,000",watercolor,43.2 x 55.9 cm.,Unknown,1936-2024,Contemporary Art,Modern Art
Smile,DAVID SALLE,,"USD 30,000 - 50,000",N/A,104.1 x 104.1 cm.,United States,b. 1952,Contemporary Art,Modern Art
Phenomena Burnt Ash Shield ,PAUL JENKINS,"USD 21,420","USD 12,000 - 18,000",oil on canvas,149.8 x 50.2 cm.,Unknown,1923-2012,Contemporary Art,Modern Art
Untitled (87.2),ED MOSES,"USD 10,710","USD 12,000 - 18,000",acrylic,199.4 x 170.2 cm.,Unknown,1926-2018,Contemporary Art,Modern Art
"Untitled, Sept. 8, 1974",LUCAS SAMARAS,"USD 10,710","USD 8,000 - 12,000",N/A,33 x 25.4 cm.,Unknown,1936-2024,Contemporary Art,Modern Art
Note 5,TERRY WINTERS,"USD 27,720","USD 10,000 - 15,000",N/A,N/A,Unknown,B. 1949,Contemporary Art,Modern Art
Bionville,FRANK STELLA,"USD 18,900","USD 15,000 - 20,000",bronze,N/A,Unknown,1936-2024,Contemporary Art,Modern Art
Two Open Triangles Up Wall II,GEORGE RICKEY,,"USD 30,000 - 50,000",N/A,N/A,Unknown,1907-2002,Contemporary Art,Modern Art
Two Open Rectangles Excentric III,GEORGE RICKEY,"USD 69,300","USD 60,000 - 80,000",N/A,N/A,Unknown,1907-2002,Contemporary Art,Modern Art
Days on Blue,CHRISTOPHER WILMARTH,,"USD 20,000 - 30,000",N/A,N/A,Unknown,1943-1987,Contemporary Art,Modern Art
Source Figure,ROBERT GRAHAM,"USD 25,200","USD 20,000 - 30,000",bronze,N/A,Unknown,1938-2008,Contemporary Art,Modern Art
 Octavio Wedge,BEVERLY PEPPER,"USD 5,670","USD 6,000 - 8,000",N/A,N/A,Unknown,1922-2020,Contemporary Art,Modern Art
Flower,RICHARD DEACON,,"USD 20,000 - 30,000",N/A,N/A,Unknown,B. 1949,Contemporary Art,Modern Art
Untitled,EVAN HOLLOWAY,"USD 21,420","USD 30,000 - 50,000",bronze,N/A,Unknown,B. 1967,Contemporary Art,Modern Art
Return,NANCY GRAVES,"USD 6,930","USD 6,000 - 8,000",bronze,N/A,Unknown,1939-1995,Contemporary Art,Modern Art
Lineation ,NANCY GRAVES,"USD 20,160","USD 12,000 - 18,000",oil on canvas,228.6 x 162.6 cm.,Unknown,1939-1995,Contemporary Art,Modern Art
Lambent,NANCY GRAVES,"USD 6,930","USD 6,000 - 8,000",bronze,N/A,Unknown,1939-1995,Contemporary Art,Modern Art
The Rebirth of Dawn and Day,JACOB HASHIMOTO,"USD 40,320","USD 18,000 - 25,000",acrylic,121.9 x 119.4 cm.,Unknown,B. 1973,Contemporary Art,Modern Art
"Concetto spaziale, Natura",LUCIO FONTANA,"USD 126,000","USD 80,000 - 120,000",N/A,N/A,Unknown,1899-1968,Contemporary Art,Modern Art
Reclining Figure (XF-M-2-65),CONRAD MARCA-RELLI,,"USD 20,000 - 30,000",mixed media,78.1 x 118.1 cm.,Unknown,1913-2000,Contemporary Art,Modern Art
The Mediterraneans,SANDRO CHIA,"USD 47,880","USD 30,000 - 50,000",oil on canvas,200.7 x 195.6 cm.,Unknown,B. 1946,Contemporary Art,Modern Art
Untitled,PIERO DORAZIO,"USD 8,820","USD 6,000 - 8,000",N/A,50.8 x 36.2 cm.,Unknown,1927-2005,Contemporary Art,Modern Art
Rien que le violet,ANDRE LANSKOY,"USD 18,900","USD 15,000 - 20,000",oil on canvas,100 x 73 cm.,Unknown,1902-1976,Contemporary Art,Modern Art
Femme Arabe Accroupie Sous Une Tente,JEAN DUBUFFET,,"USD 30,000 - 50,000",gouache,44.5 x 55.9 cm.,Unknown,1901-1985,Contemporary Art,Modern Art
Tour,JEAN DUBUFFET,"USD 18,900","USD 15,000 - 20,000",N/A,27.3 x 17.8 cm.,Unknown,1901-1985,Contemporary Art,Modern Art
Situation C,JEAN DUBUFFET,,"USD 30,000 - 50,000",N/A,34.9 x 25.4 cm.,Unknown,1901-1985,Contemporary Art,Modern Art
Buste d'homme,JEAN DUBUFFET,"USD 13,860","USD 12,000 - 18,000",N/A,26.7 x 20.3 cm.,Unknown,1901-1985,Contemporary Art,Modern Art
Untitled,ALBERT OEHLEN,"USD 10,710","USD 6,000 - 8,000",N/A,24.1 x 17.8 cm.,Unknown,B. 1954,Contemporary Art,Modern Art
Untitled,ROSEMARIE TROCKEL,"USD 6,300","USD 6,000 - 8,000",N/A,21 x 13.3 cm.,Unknown,B. 1952,Contemporary Art,Modern Art
Untitled,ROSEMARIE TROCKEL,"USD 2,520","USD 3,000 - 4,000",N/A,21 x 14.6 cm.,Unknown,B. 1952,Contemporary Art,Modern Art
Untitled,ARNULF RAINER,"USD 17,640","USD 8,000 - 12,000",N/A,61 x 50.2 cm.,Unknown,B. 1929,Contemporary Art,Modern Art
I Love Mad Max,MARTIN KIPPENBERGER,,"USD 10,000 - 15,000",N/A,55.9 x 63.8 cm.,Unknown,1953-1997,Contemporary Art,Modern Art
Roberte with Red Hat,RAINER FETTING,,"USD 20,000 - 30,000",N/A,154.9 x 104 cm.,Unknown,B. 1949,Contemporary Art,Modern Art
Larvotto Beach 1,KAREL APPEL,"USD 30,240","USD 30,000 - 50,000",oil on canvas,166.4 x 191.8 cm.,Unknown,1921-2006,Contemporary Art,Modern Art
Nude Figure,KAREL APPEL,"USD 25,200","USD 30,000 - 50,000",oil on canvas,177.8 x 152.4 cm.,Unknown,1921-2006,Contemporary Art,Nude
Mauer und Fernsehturm,RAINER FETTING,"USD 6,930","USD 6,000 - 8,000",oil on canvas,80 x 83.8 cm.,Unknown,B. 1949,Contemporary Art,Modern Art
Journal déplié,PIERRE ALECHINSKY,"USD 15,120","USD 12,000 - 18,000",N/A,61 x 88.3 cm.,Unknown,b. 1927,Contemporary Art,Modern Art
Bird Clown,KAREL APPEL,"USD 10,710","USD 8,000 - 12,000",acrylic,N/A,Unknown,1921-2006,Contemporary Art,Modern Art
Intermédiaire,PIERRE ALECHINSKY,"USD 6,048","USD 3,000 - 5,000",watercolor,34.3 x 20.9 cm.,Unknown,b. 1927,Contemporary Art,Modern Art
Mathematical Definition of a Line,BERNAR VENET,"USD 5,040","USD 5,000 - 7,000",N/A,20.3 x 28.6 cm.,Unknown,B. 1941,Contemporary Art,Modern Art
"Enterprise 18.11.72, 18:5:16 URH ",JOSEPH BEUYS,,"USD 10,000 - 15,000",N/A,N/A,Unknown,1921-1986,Contemporary Art,Modern Art
Chrysalide,ARMAN,,"USD 15,000 - 20,000",bronze,N/A,Unknown,1928-2005,Contemporary Art,Modern Art
Untitled (Fugue XIV),JEAN-BAPTISTE BERNADET,"USD 21,420","USD 12,000 - 18,000",oil on canvas,198.8 x 170.7 cm.,Unknown,B. 1978,Contemporary Art,Modern Art
Untitled (Ape),STEPHAN BALKENHOL,,"USD 20,000 - 30,000",N/A,N/A,Unknown,B. 1957,Contemporary Art,Modern Art
"""A Kert"" (The Garden)",SZABOLCS BOZÓ,"USD 37,800","USD 30,000 - 50,000",acrylic,189.9 x 160 cm.,Unknown,B. 1992,Contemporary Art,Modern Art
Thrilla in Manila,VOJTĚCH KOVAŘÍK,"USD 18,900","USD 15,000 - 20,000",oil on canvas,200.7 x 200.7 cm.,Unknown,B. 1993,Contemporary Art,Modern Art
Simply,JIM HODGES,"USD 20,160","USD 20,000 - 30,000",N/A,121.9 x 121.9 cm.,Unknown,B. 1957,Contemporary Art,Modern Art
Untitled,MATTHIAS WEISCHER,"USD 16,380","USD 20,000 - 30,000",oil on canvas,139.1 x 119.4 cm.,Unknown,B. 1973,Contemporary Art,Modern Art
Groovy Bob,ERIK PARKER,,"USD 12,000 - 18,000",N/A,137.2 x 96.5 cm.,Unknown,B. 1968,Contemporary Art,Modern Art
Trace Chain,DON EDDY,"USD 18,900","USD 30,000 - 50,000",acrylic,137.8 x 279.4 cm.,Unknown,B. 1944,Contemporary Art,Modern Art
"5825 NE 2nd Ave. Miami, FL 33137",EDDIE ARROYO,"USD 3,024","USD 1,000 - 1,500",acrylic,91.4 x 121.9 cm.,Unknown,B. 1976,Contemporary Art,Modern Art
Choad,TOM SACHS,"USD 13,860","USD 8,000 - 12,000",N/A,N/A,Unknown,B. 1966,Contemporary Art,Modern Art
the prophets bear witness,VAUGHN SPANN,"USD 10,710","USD 15,000 - 20,000",mixed media,127 x 76.2 cm.,Unknown,B. 1992,Contemporary Art,Modern Art
Pluie De Doigts (Rain of Fingers),GABRIEL OROZCO,"USD 18,900","USD 30,000 - 50,000",N/A,N/A,Unknown,B. 1962,Contemporary Art,Modern Art
Untitled,EDGAR PLANS,,"USD 15,000 - 20,000",N/A,100.4 x 81.4 cm.,Unknown,B. 1977,Contemporary Art,Modern Art
Collection of Thirty Drawings,ALLAN MCCOLLUM,"USD 44,100","USD 30,000 - 50,000",N/A,25.7 x 22.2 cm.,Unknown,B. 1944,Contemporary Art,Installation
Not Yet Titled,ALMA ALLEN,"USD 6,300","USD 5,000 - 7,000",bronze,N/A,Unknown,B. 1970,Contemporary Art,Modern Art
Tate,VAUGHN SPANN,"USD 12,600","USD 15,000 - 20,000",N/A,50.8 x 50.8 cm.,Unknown,B. 1992,Contemporary Art,Modern Art
For the First Time II,ARTURO HERRERA,"USD 35,280","USD 20,000 - 30,000",N/A,193.7 x 357.5 cm.,Unknown,B. 1959,Contemporary Art,Modern Art
Untitled,ARTURO HERRERA,,"USD 8,000 - 12,000",acrylic,46.4 x 34.9 cm.,Unknown,B. 1959,Contemporary Art,Modern Art
Candlestick,KAREN KILIMNIK,"USD 6,048","USD 5,000 - 7,000",N/A,64.8 x 50.2 cm.,Unknown,B. 1955,Contemporary Art,Modern Art
Untitled,LORIEL BELTRÁN,"USD 12,600","USD 10,000 - 15,000",acrylic,157.5 x 66 cm.,Unknown,B. 1985,Contemporary Art,Modern Art
Untitled,JOSH SMITH,"USD 2,772","USD 8,000 - 12,000",acrylic,152.4 x 121.9 cm.,United States,B. 1976,Contemporary Art,Modern Art
Hyper Beige,LORIEL BELTRÁN,"USD 8,820","USD 7,000 - 10,000",N/A,88.9 x 70 cm.,Unknown,B. 1985,Contemporary Art,Modern Art
Untitled,BOSCO SODI,"USD 60,480","USD 25,000 - 35,000",N/A,N/A,Unknown,B. 1970,Contemporary Art,Modern Art
Untitled,BELKIS AYON,,"USD 10,000 - 15,000",N/A,76.2 x 57.2 cm.,Unknown,1967-1999,Contemporary Art,Modern Art
"TBD (Los Angeles, California, October 21, 2013-January 31, 2014)",WALEAD BESHTY,"USD 20,160","USD 6,000 - 8,000",N/A,243.8 x 139.7 cm.,Unknown,B. 1976,Contemporary Art,Modern Art
Untitled (Bunch $19.99),GABRIEL OROZCO,"USD 7,560","USD 8,000 - 12,000",N/A,29.8 x 21 cm.,Unknown,B. 1962,Contemporary Art,Modern Art
Untitled,ALEX HUBBARD,"USD 2,016","USD 8,000 - 12,000",N/A,157.5 x 120.7 cm.,Unknown,B. 1975,Contemporary Art,Modern Art
Artificial Skin 3,WILHELM SASNAL,"USD 5,292","USD 12,000 - 18,000",oil on canvas,40 x 49.8 cm.,Unknown,B. 1972,Contemporary Art,Modern Art
Black,NAN GOLDIN,"USD 56,700","USD 20,000 - 30,000",N/A,149.8 x 200 cm.,Unknown,b. 1953,Contemporary Art,Modern Art
Untitled (Pregnant Woman),CINDY SHERMAN,"USD 1,386","USD 1,500 - 2,500",N/A,99.1 x 76.2 cm.,Unknown,B. 1954,Contemporary Art,Modern Art
Untitled,CINDY SHERMAN,"USD 2,772","USD 3,000 - 5,000",N/A,17.5 x 12.4 cm.,Unknown,B. 1954,Contemporary Art,Modern Art
Untitled (Upstate) ,RICHARD PRINCE,"USD 8,820","USD 8,000 - 12,000",N/A,99.1 x 65.4 cm.,Unknown,B. 1949,Contemporary Art,Modern Art
Creative Evolution #3 (King Kong),RICHARD PRINCE,"USD 22,680","USD 30,000 - 50,000",N/A,218.4 x 119.4 cm.,Unknown,B. 1949,Contemporary Art,Modern Art
Untitled (Portrait),RICHARD PRINCE,"USD 12,600","USD 15,000 - 20,000",N/A,55.9 x 43.2 cm.,Unknown,B. 1949,Contemporary Art,Portrait
Jesus Christ Superstar,RICHARD PRINCE,,"USD 3,000 - 5,000",N/A,35.6 x 27.9 cm.,Unknown,B. 1949,Contemporary Art,Modern Art
Spiritual America (Unique Artist's Book),RICHARD PRINCE,,"USD 15,000 - 20,000",N/A,N/A,Unknown,B. 1949,Contemporary Art,Modern Art
Untitled (Maquette for Artists Space Postcard),RICHARD PRINCE,"USD 2,772","USD 3,000 - 5,000",N/A,18.4 x 25.4 cm.,Unknown,B. 1949,Contemporary Art,Modern Art
Jeremy walking in coat,JULIAN OPIE,"USD 37,800","USD 8,000 - 12,000",acrylic,83.2 x 46.7 cm.,Unknown,B. 1958,Contemporary Art,Modern Art
Maria (1); Maria (2); Maria-Theresa [Three Works],JULIAN OPIE,"USD 16,380","USD 20,000 - 30,000",N/A,122.2 x 84.8 cm.,Unknown,B. 1958,Contemporary Art,Modern Art
"Martina and Her Grandmother, Chicago",DAWOUD BEY,"USD 16,380","USD 15,000 - 20,000",N/A,74.9 x 55.8 cm.,Unknown,b. 1953,Contemporary Art,Modern Art
Untitled (Saddle Peak),FLORIAN MAIER-AICHEN,"USD 25,200","USD 40,000 - 60,000",N/A,N/A,Unknown,B. 1973,Contemporary Art,Modern Art
"Still Life with Three Puppies, after Gauguin (from Pictures of Magazines)",VIK MUNIZ,"USD 12,600","USD 12,000 - 18,000",N/A,271.8 x 180.3 cm.,Unknown,B. 1961,Contemporary Art,Still Life
Yellow Dining Room,LAURIE SIMMONS,,"USD 18,000 - 25,000",N/A,118.1 x 100.3 cm.,Unknown,B. 1949,Contemporary Art,Modern Art
The Instant Decorator (Blue Room with Ocean View/ Cocktail Party),LAURIE SIMMONS,"USD 17,640","USD 8,000 - 12,000",N/A,121.9 x 158.8 cm.,Unknown,B. 1949,Contemporary Art,Modern Art
"Wheat Field with Cypresses, after Van Gogh (Pictures of Magazines 2)",VIK MUNIZ,,"USD 25,000 - 35,000",N/A,101.6 x 128.3 cm.,Unknown,B.1961,Contemporary Art,Modern Art
Four Horseman of the Apocalypse No. 24,PAUL PFEIFFER,"USD 21,420","USD 5,000 - 7,000",N/A,152.4 x 121.9 cm.,Unknown,B. 1966,Contemporary Art,Modern Art
Chuck (From Pictures of Color),VIK MUNIZ,"USD 22,680","USD 15,000 - 20,000",N/A,226.1 x 177.8 cm.,Unknown,B. 1961,Contemporary Art,Modern Art
"St. Michael's Blood Parts I and II, 1990",ANDRES SERRANO,"USD 25,200","USD 20,000 - 30,000",N/A,70 x 101.6 cm.,Unknown,B. 1950,Contemporary Art,Modern Art
"Self-Portrait, after Rembrandt (from Pictures of Chocolate)",VIK MUNIZ,"USD 8,190","USD 5,000 - 7,000",N/A,84.5 x 76.2 cm.,Unknown,b. 1961,Contemporary Art,Portrait
Rosignano Night,MASSIMO VITALI,"USD 6,300","USD 7,000 - 10,000",N/A,149.8 x 181.6 cm.,Unknown,b. 1944,Contemporary Art,Modern Art
Untitled (Fox),RONI HORN,"USD 11,970","USD 6,000 - 8,000",N/A,76.2 x 76.2 cm.,Unknown,B. 1955,Contemporary Art,Modern Art
Horizontal Study,ILIT AZOULAY,,"USD 12,000 - 18,000",N/A,200.7 x 134.6 cm.,Unknown,B. 1972,Contemporary Art,Modern Art
"Señora Luisa Faxas Residence, 2 #318 (at the corner of Avenida 5ta.), No. 2, Miramara, Havana, 1997",ROBERT POLIDORI,"USD 11,970","USD 8,000 - 12,000",N/A,127 x 152.4 cm.,Unknown,B. 1951,Contemporary Art,Modern Art
Sir Winston Churchill ,HIROSHI SUGIMOTO,,"USD 40,000 - 60,000",N/A,148.6 x 120 cm.,Unknown,B. 1948,Contemporary Art,Modern Art
"Tyrrhenian Sea, Priano",HIROSHI SUGIMOTO,"USD 27,720","USD 18,000 - 25,000",N/A,47 x 60.3 cm.,Unknown,B. 1948,Contemporary Art,Modern Art
The Electric Chair,HIROSHI SUGIMOTO,"USD 3,780","USD 3,000 - 5,000",N/A,41.9 x 54 cm.,Unknown,B. 1948,Contemporary Art,Modern Art
Asylum,JAMES CASEBERE,"USD 10,710","USD 6,000 - 8,000",N/A,127 x 96.5 cm.,Unknown,b. 1953,Contemporary Art,Modern Art
Fragile Moments,HERNAN BAS,"USD 1,134","USD 3,000 - 5,000",N/A,N/A,Unknown,B. 1978,Contemporary Art,Installation
"John F. Kennedy, Democratic Convention",GARRY WINOGRAND,"USD 3,276","USD 5,000 - 7,000",N/A,50.8 x 40.6 cm.,Unknown,1928-1984,Contemporary Art,Modern Art
Blue Eclipse III,RICHARD ANUSZKIEWICZ,"USD 25,200","USD 20,000 - 30,000",acrylic,121.9 x 121.9 cm.,Unknown,1930-2020,Contemporary Art,Modern Art
White Dominant,ALEXANDER LIBERMAN,"USD 30,240","USD 6,000 - 8,000",oil on canvas,77.5 x 127 cm.,Unknown,1912-1999,Contemporary Art,Modern Art
Exposed Painting Cobalt Violet,CALLUM INNES,"USD 47,880","USD 20,000 - 30,000",oil on canvas,160.7 x 156.8 cm.,Unknown,B. 1962,Contemporary Art,Modern Art
Untitled,RICHARD ALDRICH,"USD 5,292","USD 5,000 - 7,000",N/A,213.4 x 147.3 cm.,Unknown,B. 1975,Contemporary Art,Modern Art
15.mayo.2009,DAVID RODRIGUEZ CABALLERO,"USD 7,560","USD 10,000 - 15,000",N/A,N/A,Unknown,B. 1970,Contemporary Art,Modern Art
Water YLYG 16,YOUNG-IL AHN,"USD 13,860","USD 15,000 - 20,000",oil on canvas,167.6 x 208.3 cm.,Unknown,1934-2020,Contemporary Art,Modern Art
Untitled,ANA PRATA,"USD 1,638","USD 1,000 - 1,500",N/A,37.1 x 30.2 cm.,Unknown,B. 1980,Contemporary Art,Modern Art
Untitled,AL TAYLOR,"USD 17,640","USD 25,000 - 35,000",acrylic,244.2 x 195.9 cm.,Unknown,1948-1999,Contemporary Art,Modern Art
Untitled ,AL TAYLOR,"USD 8,190","USD 8,000 - 12,000",acrylic,53.7 x 38.4 cm.,Unknown,1948-1999,Contemporary Art,Modern Art
Inner City Life II,ANNA LEONHARDT,"USD 3,780","USD 5,000 - 7,000",oil on canvas,136.8 x 106.7 cm.,Unknown,B. 1981,Contemporary Art,Modern Art
Najafgarh (from Flow series),VIBHA GALHOTRA,"USD 4,410","USD 5,000 - 7,000",N/A,N/A,Unknown,B. 1978,Contemporary Art,Modern Art
Abjad Hawaz Series,DANA AWARTANI,"USD 6,930","USD 7,000 - 10,000",gouache,24.5 x 24.5 cm.,Unknown,B. 1987,Contemporary Art,Modern Art
Rose Hearts,GHADA AMER,"USD 4,410","USD 2,000 - 3,000",N/A,129.5 x 190.5 cm.,Unknown,B. 1963,Contemporary Art,Modern Art
Unveiling,SHIRIN NESHAT,"USD 27,720","USD 20,000 - 30,000",N/A,139.7 x 94 cm.,Unknown,b. 1957,Contemporary Art,Modern Art
Hunting Party,KOUR POUR,"USD 25,200","USD 25,000 - 35,000",acrylic,122.6 x 183.5 cm.,Unknown,B. 1987,Contemporary Art,Modern Art
Untitled,TAMMAM AZZAM,"USD 3,780","USD 10,000 - 15,000",N/A,140 x 240 cm.,Unknown,B. 1980,Contemporary Art,Modern Art
"Chanting, Humming All Day Long",KOUR POUR,,"USD 30,000 - 50,000",acrylic,243.8 x 183.5 cm.,Unknown,B. 1987,Contemporary Art,Modern Art
Brought to surface,HUGO MCCLOUD,"USD 23,940","USD 18,000 - 25,000",N/A,184.2 x 248.9 cm.,Unknown,B. 1980,Contemporary Art,Modern Art
Cover up,HUGO MCCLOUD,"USD 17,640","USD 10,000 - 15,000",N/A,176.5 x 185.4 cm.,Unknown,B. 1980,Contemporary Art,Modern Art
Untitled,BRUCE CONNER,"USD 11,340","USD 10,000 - 15,000",N/A,53.5 x 34.1 cm.,Unknown,1933-2008,Contemporary Art,Modern Art
Fleurs,LE PHO,"USD 25,200","USD 12,000 - 18,000",oil on canvas,46.4 x 27.3 cm.,Unknown,1907-2001,Contemporary Art,Modern Art
Apollinaris Hôtel de l'Observatoire,JOSEPH CORNELL,"USD 25,200","USD 25,000 - 35,000",acrylic,N/A,Unknown,1903-1972,Contemporary Art,Modern Art
Model on Green Couch,WILLIAM THEOPHILUS BROWN,"USD 3,780","USD 3,000 - 5,000",N/A,27.9 x 43.8 cm.,Unknown,1919-2012,Contemporary Art,Modern Art
Untitled (for the San Francisco Heart Association),ROBERT RAUSCHENBERG,,"USD 10,000 - 15,000",N/A,9.5 x 13.3 cm.,Unknown,1925-2008,Contemporary Art,Modern Art
Summer Region,GILLIAN AYRES,"USD 22,680","USD 20,000 - 30,000",oil on canvas,152.4 x 152.4 cm.,Unknown,1930-2018,Contemporary Art,Modern Art
Plan for the Keys of the Soft Typewriter,CLAES OLDENBURG,"USD 12,600","USD 10,000 - 15,000",watercolor,45.7 x 69.2 cm.,Unknown,1929-2022,Contemporary Art,Modern Art
Venezia,SOREL ETROG,"USD 11,970","USD 6,000 - 8,000",bronze,N/A,Unknown,b. 1933,Contemporary Art,Modern Art
HAVE SEEN,SQUEAK CARNWATH,"USD 4,032","USD 5,000 - 7,000",N/A,152.4 x 152.4 cm.,Unknown,B. 1947,Contemporary Art,Modern Art
Abstract Figure,HANS HOFMANN,"USD 3,276","USD 3,000 - 5,000",N/A,27.9 x 21.6 cm.,Germany,1880-1966,Contemporary Art,Abstract
