Название;Имя художника;Стоимость;Примерная оценка;Размер;Страна;Период;Стиль
Forest Stream;LI XIONGCAI;;HKD 200,000 - 300,000;100 x 51.6 cm;CHINA;1910-2001;Traditional Chinese Art
Lady Holding Fan;DENG FEN;HKD 27,720;HKD 30,000 - 50,000;79 x 39.2 cm;CHINA;1894-1964;Traditional Chinese Art
Longevity;HUANG JUNBI;HKD 27,720;HKD 20,000 - 30,000;57 x 29 cm;CHINA;1898-1991;Traditional Chinese Art
Landscape;HUANG JUNBI;HKD 17,640;HKD 30,000 - 50,000;68.2 x 32.8 cm;CHINA;1898-1991;Traditional Chinese Art
Landscape / Punting / Figure;PU JIN;HKD 25,200;HKD 20,000 - 30,000;95.5 x 33 cm;CHINA;1893-2002;Traditional Chinese Art
Three Friends of Winter;LIU HAISU;HKD 60,480;HKD 20,000 - 30,000;100.5 x 40 cm;CHINA;1896-1994;Traditional Chinese Art
Calligraphy / Lingzhi, Pine Tree and Plum Blossoms;ZHANG QUN;HKD 6,300;HKD 20,000 - 30,000;41.2 x 109 cm;CHINA;1889-1990;Traditional Chinese Art
Spring River / Still Life;GAO LONGSHENG;HKD 35,280;HKD 20,000 - 30,000;87.5 x 27.5 cm;CHINA;1935-2021;Traditional Chinese Art
Ink Bamboo / Lady and Bamboo;CHEN FANG;HKD 2,268;HKD 20,000 - 30,000;103 x 33.2 cm;CHINA;1897-1962;Traditional Chinese Art
Calligraphy;WU JINGHENG;HKD 6,930;HKD 20,000 - 30,000;78 x 40 cm;CHINA;1900-2001;Traditional Chinese Art
Calligraphy;WANG YUNWU;HKD 3,780;HKD 20,000 - 30,000;69 x 43 cm;CHINA;1888-1979) / ZHU JIUYING (1898-1996;Traditional Chinese Art
Calligraphy;YE GONGCHAO;HKD 13,860;HKD 20,000 - 30,000;127.5 x 16.5 cm;CHINA;1897-1962;Traditional Chinese Art
Poems in Running Script;BU NING (1917-2002）;HKD 2,520;HKD 20,000 - 30,000;44.2 x 68.5 cm;CHINA;;Traditional Chinese Art
Seven-character Poem in Cursive Script;YU YOUREN;HKD 75,600;HKD 20,000 - 30,000;131.5 x 32.5 cm;CHINA;1879-1964;Traditional Chinese Art
Seven-character Calligraphic Couplet in Cursive Script;HUANG YONGYU;HKD 32,760;HKD 26,000 - 40,000;136.5 x 32.5 cm;CHINA;1924-2023;Traditional Chinese Art
Drinking;HUANG YONGYU;HKD 189,000;HKD 150,000 - 250,000;135.5 x 68 cm;CHINA;1924-2023;Traditional Chinese Art
Red Lotus;HUANG YONGYU;HKD 176,400;HKD 120,000 - 180,000;68 x 68.5 cm;CHINA;1924-2023;Traditional Chinese Art
Portrait of Pok Shau-fu;SHIY DE-JINN (XI DEJIN, 1923-1981);HKD 8,820;HKD 60,000 - 80,000;66 x 50 cm;CHINA;;Traditional Chinese Art
Pondering the Incomprehensible;HUANG YONGYU;HKD 189,000;HKD 150,000 - 300,000;69.3 x 138 cm;CHINA;1924-2023;Traditional Chinese Art
Autumn Scenery;LIN FENGMIAN;HKD 478,800;HKD 400,000 - 600,000;65 x 66 cm;CHINA;1900-1991;Traditional Chinese Art
